Customer,Category,Product,Quantity,Price,Total_Sales,Date
Bob,Automotive,Car Battery,5.0,134.04,670.2,2023-12-27
Charlie,Automotive,Spark Plug,6.0,431.51,0.0,2023-04-24
Grace,Home Goods,Vacuum Cleaner,4.0,45.2,180.8,2023-05-01
Hannah,Automotive,Car Battery,1.0,17.35,17.35,2023-10-30
Frank,Home Goods,Microwave,3.0,375.28,1125.84,2023-01-27
Bob,Toys,Toy Car,8.0,,0.0,2023-03-23
Frank,Toys,Puzzle,10.0,399.99,3999.9,2023-09-05
Bob,Toys,Action Figure,10.0,163.07,1630.7,2023-04-03
Frank,Home Goods,Microwave,2.0,174.05,348.1,2023-05-16
David,Electronics,Laptop,2.0,418.36,836.72,2023-01-11
Frank,Apparel,Pants,4.0,354.06,0.0,2023-05-20
Emma,Electronics,Smartphone,4.0,442.11,1768.44,2023-02-05
Charlie,Automotive,Tire,4.0,498.25,1993.0,2023-10-06
Grace,Automotive,Tire,3.0,203.7,611.1,2023-07-13
David,Automotive,Oil Filter,1.0,486.66,486.66,2023-05-05
Hannah,Electronics,Headphones,,453.64,0.0,2023-07-22
Grace,Electronics,Tablet,3.0,192.93,578.79,2023-08-17
David,Toys,Action Figure,5.0,468.56,2342.8,2023-09-29
Emma,Toys,Board Game,5.0,288.5,1442.5,2023-06-10
David,Toys,Toy Car,4.0,420.56,1682.24,2023-06-15
Frank,Electronics,Smartphone,10.0,233.78,2337.8,2023-12-05
Alice,Automotive,Spark Plug,1.0,55.81,0.0,2023-04-11
David,Toys,Action Figure,7.0,132.68,928.76,2023-03-31
Emma,Automotive,Tire,5.0,245.42,1227.1,2023-10-29
Bob,Home Goods,Toaster,4.0,365.55,1462.2,2023-08-20
Hannah,Electronics,Smartphone,4.0,40.08,160.32,2023-11-13
Bob,Electronics,Tablet,7.0,117.11,819.77,2023-03-23
Charlie,Electronics,Tablet,1.0,461.26,461.26,2023-08-20
Hannah,Automotive,Car Battery,7.0,207.04,0.0,2023-08-17
Hannah,Toys,Puzzle,9.0,210.52,1894.68,2023-01-21
Emma,Electronics,Smartphone,9.0,141.17,1270.53,2023-12-01
David,Toys,Board Game,1.0,22.58,22.58,2023-04-20
Charlie,Apparel,Shoes,6.0,187.01,1122.06,2023-03-02
Hannah,Apparel,Shoes,3.0,440.58,1321.74,2023-03-02
Frank,Electronics,Headphones,2.0,399.97,799.94,2023-03-14
Bob,Toys,Board Game,6.0,194.56,1167.36,2023-09-30
Bob,Electronics,Laptop,3.0,377.89,1133.67,2023-08-24
Hannah,Apparel,Jacket,1.0,90.91,90.91,2023-12-12
Grace,Automotive,Tire,10.0,428.08,4280.8,2023-12-26
Grace,Home Goods,Vacuum Cleaner,4.0,,0.0,2023-04-29
Emma,Home Goods,Microwave,7.0,333.39,2333.73,2023-09-17
Bob,Automotive,Tire,9.0,65.33,0.0,2023-07-28
Grace,Electronics,Laptop,4.0,206.83,827.32,2023-10-26
Emma,Apparel,Shirt,6.0,193.51,1161.06,2023-08-22
Frank,Automotive,Oil Filter,9.0,144.06,0.0,2023-12-14
Frank,Apparel,Shoes,7.0,359.28,2514.96,2023-05-16
Emma,Home Goods,Vacuum Cleaner,3.0,211.32,633.96,2023-11-06
Charlie,Toys,Toy Car,8.0,49.2,393.6,2023-06-18
Charlie,Electronics,Laptop,2.0,195.37,390.74,2023-03-08
Bob,Toys,Puzzle,8.0,172.38,1379.04,2023-01-16
Hannah,Electronics,Headphones,10.0,292.79,2927.9,2023-07-23
Emma,Apparel,Shirt,6.0,299.36,0.0,2023-05-07
Charlie,Apparel,Pants,1.0,99.45,99.45,2023-11-09
Hannah,Home Goods,Vacuum Cleaner,7.0,235.98,1651.86,2023-10-08
David,Home Goods,Blender,1.0,204.33,0.0,2023-06-23
Hannah,Apparel,Shirt,5.0,33.19,0.0,2023-03-03
Bob,Automotive,Spark Plug,3.0,413.53,1240.59,2023-10-15
Hannah,Electronics,Headphones,1.0,259.94,259.94,2023-11-13
Alice,Home Goods,Toaster,9.0,373.06,3357.54,2023-06-07
David,Automotive,Spark Plug,6.0,136.86,0.0,2023-09-03
Emma,Apparel,Shoes,7.0,83.91,587.37,2023-11-06
Frank,Home Goods,Microwave,5.0,145.45,727.25,2023-08-14
Emma,Toys,Board Game,5.0,370.85,0.0,2023-02-21
David,Automotive,Oil Filter,6.0,138.57,0.0,2023-03-14
Frank,Apparel,Shoes,9.0,,0.0,2023-05-21
David,Home Goods,Toaster,6.0,456.1,2736.6,2023-11-02
Emma,Automotive,Car Battery,9.0,236.41,0.0,2023-01-11
Emma,Home Goods,Toaster,5.0,,0.0,2023-12-31
Grace,Home Goods,Blender,,285.6,0.0,2023-10-24
Alice,Apparel,Shirt,7.0,381.8,0.0,2023-10-24
Bob,Home Goods,Microwave,9.0,286.59,2579.31,2023-11-01
Bob,Toys,Toy Car,7.0,476.62,3336.34,2023-09-24
David,Apparel,Pants,7.0,377.74,2644.18,2023-02-11
Alice,Apparel,Shoes,4.0,257.15,1028.6,2023-09-23
Frank,Apparel,Pants,2.0,,0.0,2023-03-22
David,Toys,Toy Car,3.0,205.57,616.71,2023-05-19
Hannah,Electronics,Laptop,7.0,291.77,0.0,2023-10-14
Frank,Automotive,Car Battery,10.0,439.16,0.0,2023-01-23
Hannah,Apparel,Shirt,6.0,260.24,1561.44,2023-08-04
David,Toys,Action Figure,,117.76,0.0,2023-06-06
Alice,Electronics,Laptop,9.0,262.9,0.0,2023-07-21
David,Toys,Puzzle,1.0,470.1,470.1,2023-04-24
Alice,Automotive,Car Battery,5.0,358.19,0.0,2023-03-02
Grace,Home Goods,Vacuum Cleaner,10.0,420.11,4201.1,2023-04-22
Charlie,Electronics,Smartphone,4.0,148.03,592.12,2023-06-11
Bob,Automotive,Car Battery,8.0,357.78,2862.24,2023-05-16
Charlie,Toys,Board Game,7.0,357.88,2505.16,2023-10-15
Emma,Toys,Action Figure,6.0,326.62,1959.72,2023-02-04
Grace,Home Goods,Blender,5.0,36.72,183.6,2023-01-27
Emma,Toys,Action Figure,7.0,6.65,46.55,2023-04-22
Hannah,Automotive,Oil Filter,6.0,,0.0,2023-05-08
David,Apparel,Shoes,8.0,56.78,454.24,2023-07-20
Hannah,Automotive,Oil Filter,10.0,478.35,4783.5,2023-08-29
Hannah,Automotive,Tire,10.0,482.79,0.0,2023-04-27
Charlie,Home Goods,Toaster,9.0,347.22,3124.98,2023-10-16
Emma,Automotive,Tire,,294.8,0.0,2023-06-29
Frank,Apparel,Jacket,8.0,377.29,3018.32,2023-05-09
Grace,Home Goods,Blender,7.0,236.06,1652.42,2023-06-16
Bob,Toys,Action Figure,10.0,,0.0,2023-10-19
Grace,Home Goods,Microwave,6.0,,0.0,2023-02-25
Alice,Home Goods,Microwave,4.0,206.96,827.84,2023-08-26
Hannah,Automotive,Tire,5.0,490.69,2453.45,2023-06-10
Grace,Toys,Puzzle,5.0,76.28,381.4,2023-12-02
Bob,Automotive,Tire,6.0,241.61,1449.66,2023-06-13
Charlie,Home Goods,Vacuum Cleaner,6.0,210.7,1264.2,2023-07-29
Alice,Home Goods,Toaster,4.0,429.12,1716.48,2023-11-20
Bob,Home Goods,Blender,9.0,47.52,427.68,2023-06-23
Grace,Apparel,Shoes,6.0,215.93,1295.58,2023-11-06
Frank,Home Goods,Blender,4.0,181.64,726.56,2023-12-17
Grace,Apparel,Shirt,8.0,430.94,3447.52,2023-01-19
Bob,Apparel,Shoes,4.0,489.67,1958.68,2023-01-18
Frank,Electronics,Headphones,8.0,310.45,2483.6,2023-05-04
Frank,Home Goods,Vacuum Cleaner,2.0,239.42,478.84,2023-05-03
David,Home Goods,Microwave,4.0,86.72,346.88,2023-09-12
Frank,Automotive,Spark Plug,1.0,80.24,80.24,2023-08-14
Charlie,Home Goods,Toaster,1.0,146.22,146.22,2023-06-01
Emma,Home Goods,Vacuum Cleaner,6.0,101.35,608.1,2023-05-10
Alice,Automotive,Tire,6.0,481.63,0.0,2023-06-30
Emma,Toys,Board Game,9.0,248.89,2240.01,2023-05-03
Grace,Electronics,Tablet,6.0,236.48,1418.88,2023-02-17
Emma,Automotive,Spark Plug,9.0,300.82,2707.38,2023-04-11
Frank,Toys,Toy Car,3.0,108.48,325.44,2023-11-19
Bob,Automotive,Spark Plug,5.0,386.42,1932.1,2023-10-26
Frank,Apparel,Shirt,10.0,493.01,4930.1,2023-02-05
Hannah,Home Goods,Blender,5.0,297.93,1489.65,2023-01-24
Grace,Apparel,Shoes,8.0,142.9,1143.2,2023-11-05
Grace,Electronics,Smartphone,2.0,269.35,538.7,2023-11-22
Bob,Electronics,Smartphone,8.0,,0.0,2023-11-09
Emma,Apparel,Shoes,7.0,475.6,3329.2,2023-06-04
Charlie,Electronics,Smartphone,2.0,171.93,0.0,2023-12-28
Hannah,Toys,Board Game,8.0,185.27,0.0,2023-12-03
Frank,Toys,Board Game,8.0,392.72,3141.76,2023-08-08
Emma,Home Goods,Vacuum Cleaner,3.0,459.55,0.0,2023-06-23
Grace,Electronics,Laptop,4.0,453.16,0.0,2023-12-05
Frank,Automotive,Car Battery,6.0,320.41,1922.46,2023-12-20
David,Home Goods,Microwave,,369.52,0.0,2023-06-13
Emma,Apparel,Shirt,6.0,81.89,491.34,2023-07-02
Bob,Apparel,Pants,4.0,485.14,1940.56,2023-01-17
Charlie,Toys,Toy Car,1.0,253.94,253.94,2023-11-30
Alice,Toys,Board Game,5.0,360.67,1803.35,2023-09-11
David,Home Goods,Blender,6.0,147.57,885.42,2023-09-17
Grace,Automotive,Car Battery,8.0,230.35,1842.8,2023-02-12
Charlie,Apparel,Jacket,8.0,160.61,1284.88,2023-02-23
Grace,Apparel,Jacket,5.0,64.92,324.6,2023-02-23
Emma,Electronics,Laptop,8.0,497.05,0.0,2023-12-06
Grace,Toys,Puzzle,6.0,452.42,2714.52,2023-08-05
Hannah,Electronics,Tablet,4.0,155.89,0.0,2023-05-04
Hannah,Toys,Puzzle,8.0,396.75,3174.0,2023-10-14
Frank,Home Goods,Microwave,5.0,413.58,2067.9,2023-08-31
Charlie,Apparel,Shoes,4.0,84.17,336.68,2023-08-25
Grace,Automotive,Tire,5.0,219.61,0.0,2023-01-02
David,Toys,Board Game,5.0,186.46,932.3,2023-02-20
Frank,Electronics,Headphones,2.0,441.68,883.36,2023-01-08
David,Apparel,Pants,10.0,62.13,621.3,2023-01-23
Hannah,Toys,Board Game,8.0,428.87,3430.96,2023-12-01
Charlie,Electronics,Smartphone,10.0,486.07,4860.7,2023-01-21
Bob,Home Goods,Vacuum Cleaner,5.0,395.12,1975.6,2023-06-02
Charlie,Electronics,Smartphone,8.0,492.71,3941.68,2023-09-15
Grace,Automotive,Oil Filter,9.0,461.0,4149.0,2023-01-02
Grace,Electronics,Tablet,6.0,35.82,214.92,2023-02-12
Grace,Apparel,Shirt,6.0,257.82,1546.92,2023-10-28
Hannah,Home Goods,Microwave,6.0,161.45,0.0,2023-07-25
Charlie,Apparel,Jacket,6.0,379.6,2277.6,2023-09-29
Hannah,Automotive,Tire,1.0,80.48,80.48,2023-09-25
Hannah,Apparel,Pants,4.0,399.32,1597.28,2023-12-25
Grace,Electronics,Tablet,2.0,82.66,0.0,2023-03-01
Charlie,Apparel,Shirt,1.0,270.8,0.0,2023-08-28
Grace,Automotive,Car Battery,2.0,,0.0,2023-08-21
Frank,Electronics,Laptop,8.0,20.99,167.92,2023-10-28
Hannah,Toys,Action Figure,10.0,166.75,1667.5,2023-08-23
Hannah,Electronics,Laptop,1.0,160.93,160.93,2023-01-10
Frank,Toys,Action Figure,1.0,203.86,203.86,2023-07-03
Bob,Home Goods,Blender,1.0,142.66,142.66,2023-07-18
Hannah,Automotive,Spark Plug,1.0,83.99,0.0,2023-01-15
Frank,Toys,Action Figure,4.0,63.08,252.32,2023-12-20
Alice,Electronics,Laptop,3.0,435.0,1305.0,2023-07-11
Hannah,Electronics,Smartphone,6.0,31.8,190.8,2023-07-24
Emma,Apparel,Shoes,8.0,492.08,3936.64,2023-03-25
Alice,Home Goods,Blender,9.0,,0.0,2023-09-11
Grace,Apparel,Shirt,1.0,415.65,415.65,2023-08-13
Hannah,Apparel,Shirt,3.0,172.63,517.89,2023-11-22
Frank,Apparel,Pants,9.0,419.24,0.0,2023-04-08
Alice,Home Goods,Vacuum Cleaner,6.0,252.61,1515.66,2023-04-19
Hannah,Electronics,Tablet,7.0,302.24,0.0,2023-10-24
Alice,Toys,Action Figure,9.0,29.53,265.77,2023-07-10
Hannah,Automotive,Oil Filter,10.0,492.4,4924.0,2023-12-13
Grace,Electronics,Headphones,5.0,374.51,1872.55,2023-06-23
Charlie,Toys,Board Game,6.0,121.12,726.72,2023-01-31
Frank,Home Goods,Blender,3.0,,0.0,2023-01-16
Hannah,Apparel,Shirt,9.0,415.74,3741.66,2023-03-22
David,Apparel,Pants,2.0,165.71,0.0,2023-11-23
Grace,Toys,Board Game,2.0,34.64,69.28,2023-03-04
David,Toys,Board Game,2.0,212.31,424.62,2023-05-10
Charlie,Automotive,Tire,6.0,7.37,44.22,2023-06-14
Bob,Automotive,Tire,2.0,227.89,455.78,2023-10-06
Alice,Automotive,Car Battery,10.0,284.82,2848.2,2023-12-24
Grace,Home Goods,Blender,1.0,340.55,340.55,2023-01-14
Bob,Home Goods,Microwave,6.0,61.86,371.16,2023-01-15
Charlie,Toys,Puzzle,6.0,10.91,65.46,2023-09-12
Grace,Electronics,Laptop,2.0,265.49,530.98,2023-12-24
Hannah,Automotive,Car Battery,6.0,,0.0,2023-01-31
Grace,Toys,Puzzle,8.0,498.94,3991.52,2023-07-21
Alice,Apparel,Jacket,9.0,470.94,4238.46,2023-06-23
Frank,Home Goods,Blender,8.0,495.46,3963.68,2023-03-21
Charlie,Electronics,Smartphone,6.0,351.27,2107.62,2023-03-31
David,Automotive,Oil Filter,4.0,269.61,0.0,2023-06-01
Alice,Automotive,Car Battery,5.0,375.55,1877.75,2023-04-27
Bob,Home Goods,Microwave,9.0,378.41,0.0,2023-02-28
Charlie,Electronics,Smartphone,4.0,296.33,0.0,2023-02-03
Hannah,Electronics,Smartphone,1.0,344.1,344.1,2023-09-12
Bob,Toys,Toy Car,2.0,413.86,827.72,2023-06-15
Bob,Apparel,Shirt,1.0,485.22,485.22,2023-10-28
Alice,Toys,Toy Car,9.0,,0.0,2023-01-11
Bob,Apparel,Jacket,7.0,403.99,2827.93,2023-03-04
Hannah,Toys,Toy Car,8.0,375.27,3002.16,2023-07-12
Alice,Toys,Puzzle,8.0,216.85,1734.8,2023-09-05
Emma,Toys,Puzzle,10.0,265.84,2658.4,2023-01-19
David,Home Goods,Toaster,9.0,222.72,2004.48,2023-04-30
David,Automotive,Tire,4.0,234.89,939.56,2023-04-10
Hannah,Apparel,Shirt,6.0,404.64,2427.84,2023-07-03
Charlie,Electronics,Laptop,2.0,468.28,936.56,2023-06-08
Charlie,Apparel,Jacket,9.0,105.51,949.59,2023-05-05
Charlie,Home Goods,Vacuum Cleaner,7.0,190.83,0.0,2023-11-15
Frank,Automotive,Oil Filter,8.0,374.14,2993.12,2023-12-02
Frank,Electronics,Laptop,8.0,134.3,0.0,2023-06-02
Charlie,Electronics,Laptop,5.0,92.31,0.0,2023-10-04
Alice,Automotive,Spark Plug,8.0,253.12,2024.96,2023-07-15
Emma,Apparel,Pants,9.0,469.38,4224.42,2023-12-15
Emma,Automotive,Tire,5.0,175.25,0.0,2023-04-21
Grace,Electronics,Tablet,7.0,274.13,1918.91,2023-08-29
Grace,Toys,Toy Car,10.0,421.88,4218.8,2023-08-30
Charlie,Toys,Board Game,6.0,238.76,1432.56,2023-01-24
David,Automotive,Tire,4.0,238.43,0.0,2023-04-05
Hannah,Toys,Puzzle,3.0,,0.0,2023-03-10
Frank,Toys,Board Game,3.0,328.24,984.72,2023-09-27
David,Automotive,Oil Filter,8.0,363.43,2907.44,2023-09-01
Alice,Toys,Action Figure,7.0,352.63,2468.41,2023-11-14
Charlie,Apparel,Shoes,8.0,149.62,1196.96,2023-08-31
Bob,Automotive,Spark Plug,4.0,478.64,0.0,2023-04-07
David,Toys,Puzzle,10.0,47.51,475.1,2023-05-20
Grace,Automotive,Car Battery,2.0,438.47,0.0,2023-10-01
Bob,Home Goods,Blender,8.0,,0.0,2023-05-02
Alice,Automotive,Car Battery,10.0,437.93,4379.3,2023-05-19
Emma,Home Goods,Vacuum Cleaner,10.0,237.19,2371.9,2023-03-15
Grace,Home Goods,Microwave,4.0,53.52,214.08,2023-03-13
Frank,Toys,Toy Car,,319.5,0.0,2023-03-04
Hannah,Toys,Board Game,6.0,104.72,628.32,2023-03-14
Alice,Electronics,Tablet,7.0,51.03,357.21,2023-07-13
Hannah,Electronics,Headphones,1.0,227.0,227.0,2023-07-14
Bob,Apparel,Shoes,8.0,482.31,3858.48,2023-07-15
David,Home Goods,Toaster,2.0,375.98,751.96,2023-10-12
Charlie,Automotive,Tire,,331.96,0.0,2023-12-25
Bob,Toys,Action Figure,,468.36,0.0,2023-01-18
Frank,Automotive,Oil Filter,,200.69,0.0,2023-11-30
Hannah,Toys,Action Figure,4.0,258.31,1033.24,2023-08-14
Emma,Home Goods,Toaster,2.0,86.04,172.08,2023-03-05
David,Toys,Board Game,6.0,157.9,0.0,2023-12-17
Hannah,Home Goods,Microwave,10.0,32.42,0.0,2023-09-01
Frank,Home Goods,Vacuum Cleaner,2.0,19.67,0.0,2023-09-18
Grace,Home Goods,Blender,1.0,413.3,413.3,2023-11-30
Alice,Automotive,Oil Filter,3.0,413.79,1241.37,2023-05-14
Frank,Apparel,Jacket,3.0,379.36,1138.08,2023-10-25
Charlie,Automotive,Oil Filter,5.0,389.16,1945.8,2023-11-30
Bob,Apparel,Shirt,,316.91,0.0,2023-07-23
Hannah,Apparel,Jacket,5.0,484.02,2420.1,2023-09-13
Alice,Apparel,Jacket,5.0,392.15,1960.75,2023-01-03
Emma,Toys,Toy Car,,61.27,0.0,2023-11-06
David,Automotive,Tire,6.0,351.49,2108.94,2023-07-10
Charlie,Automotive,Tire,7.0,179.81,1258.67,2023-03-23
Grace,Electronics,Headphones,6.0,365.99,2195.94,2023-04-21
Grace,Electronics,Headphones,10.0,464.2,4642.0,2023-11-26
Emma,Toys,Toy Car,10.0,89.22,892.2,2023-12-15
Frank,Automotive,Tire,10.0,16.34,163.4,2023-09-23
Hannah,Automotive,Oil Filter,6.0,320.41,0.0,2023-07-01
Alice,Toys,Board Game,2.0,168.87,337.74,2023-09-28
Hannah,Apparel,Shoes,4.0,,0.0,2023-06-15
Alice,Automotive,Oil Filter,10.0,37.68,376.8,2023-07-28
Bob,Electronics,Smartphone,6.0,349.14,2094.84,2023-04-27
Hannah,Home Goods,Toaster,10.0,375.13,3751.3,2023-01-08
Charlie,Apparel,Shirt,6.0,235.66,1413.96,2023-12-10
Alice,Home Goods,Microwave,6.0,311.87,1871.22,2023-06-10
Alice,Electronics,Headphones,1.0,386.62,386.62,2023-09-04
Alice,Automotive,Oil Filter,8.0,284.89,0.0,2023-03-31
David,Toys,Board Game,8.0,468.51,3748.08,2023-02-15
Charlie,Automotive,Tire,6.0,150.43,0.0,2023-11-08
Alice,Automotive,Tire,1.0,439.94,439.94,2023-04-25
Bob,Home Goods,Toaster,9.0,482.78,4345.02,2023-11-15
Bob,Automotive,Spark Plug,8.0,223.23,1785.84,2023-10-20
Emma,Electronics,Smartphone,4.0,357.72,1430.88,2023-06-09
Bob,Electronics,Smartphone,4.0,332.81,0.0,2023-08-04
Hannah,Electronics,Laptop,6.0,472.88,2837.28,2023-11-15
Hannah,Apparel,Shoes,,336.18,0.0,2023-02-10
Grace,Home Goods,Toaster,7.0,83.87,587.09,2023-02-02
Grace,Toys,Puzzle,9.0,240.48,2164.32,2023-09-02
Charlie,Automotive,Spark Plug,4.0,34.26,0.0,2023-12-31
David,Home Goods,Toaster,8.0,28.19,225.52,2023-05-12
Alice,Automotive,Car Battery,3.0,40.59,121.77,2023-05-01
Bob,Automotive,Oil Filter,5.0,240.75,0.0,2023-12-28
Hannah,Home Goods,Blender,9.0,415.52,3739.68,2023-04-15
Emma,Home Goods,Microwave,9.0,236.77,2130.93,2023-01-02
Hannah,Electronics,Tablet,2.0,306.25,612.5,2023-12-31
David,Automotive,Tire,8.0,207.15,1657.2,2023-05-15
Charlie,Automotive,Oil Filter,10.0,469.96,4699.6,2023-11-14
Frank,Electronics,Headphones,4.0,274.22,1096.88,2023-07-07
Frank,Apparel,Shirt,1.0,206.93,206.93,2023-07-02
Emma,Automotive,Spark Plug,9.0,497.38,4476.42,2023-10-29
Grace,Apparel,Jacket,5.0,196.46,982.3,2023-11-19
Bob,Toys,Action Figure,4.0,,0.0,2023-07-07
Bob,Home Goods,Blender,4.0,483.49,1933.96,2023-07-10
Bob,Automotive,Oil Filter,7.0,415.36,0.0,2023-11-25
Grace,Toys,Puzzle,10.0,284.06,2840.6,2023-02-18
Emma,Electronics,Laptop,,75.41,0.0,2023-03-06
Hannah,Apparel,Jacket,8.0,193.56,1548.48,2023-05-20
Hannah,Electronics,Smartphone,8.0,94.66,757.28,2023-04-28
Hannah,Home Goods,Toaster,9.0,91.13,820.17,2023-05-08
Hannah,Toys,Puzzle,10.0,99.98,999.8,2023-09-08
Hannah,Toys,Board Game,6.0,469.03,2814.18,2023-12-07
Frank,Electronics,Smartphone,,118.35,0.0,2023-03-23
Frank,Home Goods,Microwave,1.0,430.02,430.02,2023-12-04
Emma,Electronics,Tablet,4.0,,0.0,2023-10-25
David,Apparel,Jacket,8.0,79.79,638.32,2023-11-25
Bob,Apparel,Pants,5.0,8.65,43.25,2023-12-01
Emma,Home Goods,Toaster,8.0,297.05,2376.4,2023-10-21
Grace,Apparel,Shoes,10.0,277.16,2771.6,2023-08-12
David,Electronics,Tablet,8.0,239.46,1915.68,2023-10-04
Emma,Apparel,Jacket,5.0,385.29,0.0,2023-09-08
Charlie,Toys,Action Figure,9.0,288.92,0.0,2023-02-03
Grace,Apparel,Pants,8.0,266.75,0.0,2023-02-26
Alice,Automotive,Car Battery,1.0,118.75,118.75,2023-09-01
Hannah,Toys,Board Game,4.0,249.28,997.12,2023-10-14
David,Apparel,Shirt,3.0,422.12,1266.36,2023-04-20
Alice,Home Goods,Blender,6.0,310.95,1865.7,2023-03-18
Alice,Toys,Puzzle,5.0,496.06,2480.3,2023-10-25
Charlie,Home Goods,Blender,4.0,359.0,0.0,2023-04-26
Frank,Apparel,Shirt,10.0,24.86,248.6,2023-02-23
Emma,Automotive,Oil Filter,6.0,61.5,369.0,2023-08-03
Emma,Home Goods,Microwave,10.0,10.62,106.2,2023-11-14
Emma,Home Goods,Microwave,2.0,471.48,942.96,2023-05-21
Alice,Apparel,Shirt,,200.07,0.0,2023-02-25
Emma,Apparel,Shoes,6.0,323.89,1943.34,2023-07-07
Hannah,Electronics,Headphones,5.0,458.74,2293.7,2023-05-26
Charlie,Toys,Puzzle,8.0,,0.0,2023-01-21
Frank,Apparel,Jacket,7.0,29.56,206.92,2023-04-20
Frank,Apparel,Shirt,3.0,304.58,913.74,2023-02-27
Hannah,Automotive,Tire,2.0,77.71,0.0,2023-08-04
Frank,Home Goods,Toaster,4.0,,0.0,2023-01-31
Charlie,Automotive,Tire,9.0,476.44,4287.96,2023-04-05
Alice,Electronics,Headphones,,123.39,0.0,2023-05-13
Bob,Home Goods,Blender,4.0,,0.0,2023-03-26
Hannah,Toys,Toy Car,6.0,394.48,0.0,2023-02-17
David,Electronics,Smartphone,2.0,243.29,0.0,2023-10-12
Emma,Toys,Board Game,4.0,477.55,0.0,2023-12-07
Frank,Apparel,Shirt,2.0,396.54,793.08,2023-07-07
Bob,Automotive,Oil Filter,3.0,78.76,236.28,2023-02-05
Charlie,Electronics,Headphones,,345.58,0.0,2023-11-04
Hannah,Apparel,Shirt,4.0,274.34,1097.36,2023-12-06
Grace,Home Goods,Vacuum Cleaner,1.0,159.22,159.22,2023-07-13
David,Home Goods,Blender,7.0,478.85,3351.95,2023-02-27
Alice,Apparel,Shirt,1.0,438.71,438.71,2023-03-22
Bob,Electronics,Headphones,4.0,359.96,1439.84,2023-05-30
Charlie,Home Goods,Toaster,6.0,220.06,0.0,2023-11-02
Hannah,Electronics,Smartphone,10.0,293.48,2934.8,2023-05-04
Hannah,Toys,Action Figure,,,0.0,2023-11-16
Emma,Automotive,Car Battery,,384.98,0.0,2023-01-02
David,Electronics,Laptop,5.0,316.71,1583.55,2023-10-20
Emma,Apparel,Jacket,9.0,175.63,0.0,2023-01-23
Alice,Home Goods,Vacuum Cleaner,10.0,102.82,1028.2,2023-02-06
Hannah,Apparel,Pants,5.0,225.78,0.0,2023-11-04
Hannah,Toys,Action Figure,5.0,,0.0,2023-07-06
Charlie,Automotive,Tire,7.0,440.44,0.0,2023-05-14
Grace,Automotive,Spark Plug,1.0,240.28,240.28,2023-05-08
Bob,Electronics,Laptop,2.0,427.85,855.7,2023-11-19
Grace,Electronics,Laptop,5.0,390.11,1950.55,2023-05-23
Bob,Toys,Action Figure,7.0,433.34,3033.38,2023-07-22
Bob,Toys,Action Figure,4.0,49.16,196.64,2023-04-08
Hannah,Electronics,Laptop,6.0,304.66,1827.96,2023-08-13
Hannah,Home Goods,Microwave,4.0,323.33,1293.32,2023-12-08
David,Toys,Puzzle,8.0,329.72,2637.76,2023-06-16
Charlie,Toys,Puzzle,3.0,237.53,712.59,2023-09-13
Emma,Toys,Action Figure,2.0,320.32,640.64,2023-07-29
Bob,Home Goods,Vacuum Cleaner,4.0,303.75,1215.0,2023-08-17
Emma,Electronics,Smartphone,8.0,113.44,907.52,2023-12-24
Hannah,Home Goods,Blender,6.0,400.28,0.0,2023-09-07
Emma,Electronics,Tablet,10.0,165.0,1650.0,2023-08-22
Alice,Automotive,Spark Plug,1.0,185.55,185.55,2023-06-11
Grace,Toys,Board Game,,431.44,0.0,2023-04-17
Charlie,Automotive,Spark Plug,6.0,257.57,1545.42,2023-06-05
Grace,Home Goods,Vacuum Cleaner,6.0,410.08,2460.48,2023-06-24
Bob,Electronics,Tablet,6.0,75.87,455.22,2023-12-02
Frank,Apparel,Pants,1.0,53.71,53.71,2023-12-09
Frank,Toys,Toy Car,8.0,237.46,1899.68,2023-01-31
Alice,Home Goods,Vacuum Cleaner,8.0,436.59,3492.72,2023-08-11
David,Electronics,Headphones,6.0,371.26,2227.56,2023-08-02
Frank,Electronics,Laptop,4.0,43.11,0.0,2023-06-28
Charlie,Apparel,Shoes,6.0,239.91,1439.46,2023-11-23
David,Automotive,Tire,1.0,175.68,175.68,2023-03-24
Charlie,Electronics,Tablet,8.0,91.64,733.12,2023-12-21
Hannah,Apparel,Jacket,10.0,42.25,422.5,2023-06-27
Emma,Toys,Board Game,8.0,262.67,2101.36,2023-12-02
Frank,Home Goods,Microwave,10.0,26.42,264.2,2023-04-26
David,Home Goods,Toaster,5.0,460.89,2304.45,2023-10-29
Frank,Apparel,Jacket,5.0,333.78,0.0,2023-08-29
Grace,Apparel,Shoes,1.0,369.08,369.08,2023-03-16
Hannah,Toys,Puzzle,10.0,315.61,3156.1,2023-11-26
Hannah,Home Goods,Blender,7.0,120.28,841.96,2023-08-03
David,Automotive,Tire,6.0,318.9,1913.4,2023-01-18
Alice,Toys,Puzzle,3.0,,0.0,2023-10-27
Frank,Electronics,Laptop,10.0,436.24,4362.4,2023-09-26
Hannah,Apparel,Jacket,9.0,430.98,3878.82,2023-06-04
Hannah,Apparel,Pants,5.0,15.71,78.55,2023-05-20
Hannah,Automotive,Spark Plug,7.0,470.35,3292.45,2023-09-17
Alice,Toys,Board Game,5.0,493.33,0.0,2023-08-20
Bob,Automotive,Oil Filter,3.0,62.89,188.67,2023-04-03
Alice,Apparel,Shoes,9.0,45.03,405.27,2023-12-05
